Time,DisTankPress,HeadCylPress,CrankCylPress
0.18025,38.10547955,13.34068538,52.83341733
0.1803,38.03359225,13.30789398,52.95022386
0.18035,38.01398662,13.28739935,52.92358378
0.1804,38.05319788,13.21566816,52.95022386
0.18045,38.0662683,13.30174559,52.96251929
0.1805,38.08587392,13.34888323,53.01170099
0.18055,38.03359225,13.40216925,52.81702343
0.1806,38.04012746,13.43701011,52.8211219
0.18065,37.9290289,13.40216925,52.73300469
0.1807,37.994381,13.34888323,52.88874674
0.18075,37.94863453,13.32633914,52.81292495
0.1808,37.9290289,13.37552624,52.74325088
0.18085,38.02052183,13.42061441,52.8211219
0.1809,37.94209932,13.43496065,52.82931885
0.18095,37.87674723,13.43701011,52.89284521
0.181,37.94863453,13.45340581,52.9030914
0.18105,37.9224937,13.49029614,52.81292495
0.1811,37.94209932,13.86124885,52.73095545
0.18115,37.94209932,13.30994344,52.64898595
0.1812,37.9290289,13.38577355,52.7227585
0.18125,37.98784579,13.42061441,52.6571829
0.1813,38.0009162,13.3939714,52.50553933
0.18135,37.98784579,13.39602086,52.49734238
0.1814,37.96824016,13.41241656,52.52398246
0.18145,37.994381,13.28739935,52.57931188
0.1815,38.0009162,13.2955972,52.66742909
0.18155,37.93556411,13.35913054,52.56906569
0.1816,37.96824016,13.41856495,52.49529314
0.18165,37.994381,13.3775757,52.48709619
0.1817,38.0009162,13.41856495,52.54857331
0.18175,38.02705704,13.46160366,52.39078203
0.1818,38.00745141,13.36118,52.32110795
0.18185,38.04666267,13.33453699,52.2637293
0.1819,37.994381,13.26485526,52.31496024
0.18195,37.95516974,13.3119929,52.31700948
0.182,37.97477537,13.50259291,52.36004346
0.18205,38.04666267,13.49439506,52.29241863
0.1821,37.994381,13.42881226,52.28217244
0.18215,38.02705704,13.3447843,52.40717593
0.1822,37.98131058,13.35093269,52.21044913
0.18225,37.95516974,13.39602086,52.10388878
0.1823,38.07933871,13.32633914,52.07929793
0.18235,38.05319788,13.68089615,51.97888529
0.1824,38.02052183,13.28739935,51.91330969
0.18245,38.05973309,13.29969613,51.84363561
0.1825,38.07933871,13.36322946,51.81699553
0.18255,38.03359225,13.34068538,51.89691579
0.1826,38.0662683,13.47799936,51.93790054
0.18265,38.01398662,13.42266388,51.98298376
0.1827,38.02052183,13.43701011,52.07110098
0.18275,38.05973309,13.51079076,52.0014269
0.1828,38.05973309,13.525137,51.92150664
0.18285,38.08587392,13.45545528,51.90511274
0.1829,38.07280351,13.40421871,51.93790054
0.18295,38.07933871,13.43496065,51.7883062
0.183,38.05973309,13.48209829,51.71248441
0.18305,38.07933871,13.48004883,51.48911753
0.1831,38.10547955,13.3939714,51.66740119
0.18315,38.07933871,13.3447843,51.7883062
0.1832,38.09240913,13.35913054,51.85183256
0.18325,38.15776122,13.34273484,51.74527221
0.1833,38.07280351,13.29764666,51.67559814
0.18335,38.17083164,13.39602086,51.54649618
0.1834,38.15122602,13.54768109,51.4604282
0.18345,38.18390206,13.61121443,51.50141295
0.1835,38.20350769,13.58867034,51.45428049
0.18355,38.11201476,13.55587894,51.43173888
0.1836,38.18390206,13.5579284,51.52190533
0.18365,38.22311332,13.57637356,51.40509879
0.1837,38.2100429,13.61121443,51.41739421
0.18375,38.29500062,13.45545528,51.4440343
0.1838,38.24271894,13.4595542,51.2964892
0.18385,38.26232457,13.41241656,51.28214454
0.1839,38.25578936,13.45135635,51.0997624
0.18395,38.30153583,13.52308754,51.05672841
0.184,38.29500062,13.54358216,51.04853146
0.18405,38.30153583,13.56407679,50.99934976
0.1841,38.31460624,13.58047249,50.95016806
0.18415,38.4257048,13.61326389,50.86000161
0.1842,38.36688792,13.70344024,50.98705434
0.18425,38.4257048,13.68499508,50.96451273
0.1843,38.41916959,13.58047249,50.98295586
0.18435,38.39302875,13.58047249,51.01574366
0.1844,38.44531043,13.52103808,50.91328179
0.18445,38.47145126,13.56817571,50.68171795
0.1845,38.49105689,13.61326389,50.6079454
